building_id,height_m,height_quality,height_valid,confidence,full_plus_code,distance_from_center_m,area_m2,intersects_boundary
06b50000000000277fe3,24.268229166666668,HIGH,1,0.9192000031471252,6P58RR9C+XM5P,0.0,1657.8,False
06b500000000002adf06,5.90625,HIGH,1,0.8054999709129333,6P58RR9C+WRR3,12.1,207.9,False
06b500000000003718df,11.7421875,HIGH,1,0.8076000213623047,6P58RRCC+3MJ4,16.8,302.7,False
06b50000000000321fbe,13.7890625,HIGH,1,0.8176000118255615,6P58RR9C+RPXP,32.4,291.6,False
06b5000000000035294b,22.96875,HIGH,1,0.8125,6P58RRCC+6M55,34.8,612.7,False
06b500000000001829e6,14.8359375,HIGH,1,0.8228999972343445,6P58RR9C+VM43,35.5,415.1,False
06b500000000003447fe,22.0859375,HIGH,1,0.8833000063896179,6P58RRCC+4JWJ,36.5,731.2,False
06b50000000000017a67,11.1171875,HIGH,1,0.7727000117301941,6P58RR9C+VQ5V,36.8,53.2,False
06b500000000001dd7c6,,NO_HEIGHT,0,0.8781999945640564,6P58RRCC+3WF2,39.9,91.0,False
06b50000000000091a25,4.578125,HIGH,1,0.7127000093460083,6P58RR9C+VV3C,45.8,59.2,False
06b50000000000225417,,NO_HEIGHT,0,0.7106999754905701,6P58RRCC+3WW4,50.8,15.6,False
06b50000000000213948,95.375,HIGH,1,0.6847000122070312,6P58RR9C+WHVR,50.9,104.0,False
06b500000000001d2ac8,93.8984375,HIGH,1,0.8454999923706055,6P58RR9C+WH27,52.4,135.1,False
06b500000000000789ef,3.3125,HIGH,1,0.8294000029563904,6P58RR9C+RV7W,53.5,109.9,False
06b50000000000287103,17.5546875,LOW,1,0.9021999835968018,6P58RRCC+3FWG,69.3,180.3,False
06b500000000000fa70b,36.28125,HIGH,1,0.7426000237464905,6P58RRCC+5GGC,71.4,110.4,False
06b500000000001477b3,67.609375,HIGH,1,0.6887000203132629,6P58RRCC+7PRC,72.4,118.7,False
06b500000000001d4070,,NO_HEIGHT,0,0.7896000146865845,6P58RRCC+8V4R,77.3,509.4,False
06b500000000003dedbc,67.5546875,HIGH,1,0.8675000071525574,6P58RRCC+2C3P,77.4,1169.8,False
06b5000000000010e5f0,92.59375,HIGH,1,0.8533999919891357,6P58RRCC+7JP8,78.4,107.5,False
06b500000000003170b6,,NO_HEIGHT,0,0.7820000052452087,6P58RR9C+RGR5,78.8,28.9,False
06b50000000000338f2f,94.4453125,HIGH,1,0.7210999727249146,6P58RRCC+8J69,89.2,72.3,False
06b50000000000008bd0,10.203125,HIGH,1,0.7681000232696533,6P58RRCC+9MX9,95.0,520.6,False
06b500000000000a7c54,,NO_HEIGHT,0,0.7414000034332275,6P58RRCC+8X9P,104.8,26.5,False
